response_code,isbn,box,long_title,author,publisher,binding_type,pages,date_published
200,9780823023578,10 Art & Fashion,How To Draw Heads And Portraits (watson-guptill Artists Library) (english And Spanish Edition),Jose Maria Parramon,Watson-guptill Pubns,Paperback,111,1990
200,9781402720291,10 Art & Fashion,Art Of Drawing Landscapes,Inc. Sterling Publishing Co.,Sterling,Paperback,160,2005
404,9781405430296,10 Art & Fashion,N/A,N/A,N/A,N/A,N/A,N/A
200,9781741730302,10 Art & Fashion,Vintage Shoes,Caroline Cox,Collins Design,Hardcover,N/A,2008
404,9781845662103,10 Art & Fashion,N/A,N/A,N/A,N/A,N/A,N/A
200,9781851773015,10 Art & Fashion,400 Years Of Fashion,Natalie Rothstein,V & A Publishing,Paperback,176,1999
200,9783899555486,10 Art & Fashion,The Craft And The Makers: Between Tradition And Attitude,Campbell,Gestalten,Hardcover,256,2014
404,941817008,11 Art & Fashion,N/A,N/A,N/A,N/A,N/A,N/A
200,9780500513606,11 Art & Fashion,Chanel: Collections And Creations,Daniele Bott,Thames & Hudson,Hardcover,208,2007
200,9780714865911,11 Art & Fashion,Art As Therapy,Alain De Botton,Phaidon Press,Hardcover,240,2013
200,9780724103553,11 Art & Fashion,Napoleon,"Gott, Ted",National Gallery Of Victoria,Paperback,N/A,2012
200,9780789200228,11 Art & Fashion,The Art Of Haute Couture,Laura Jacobs,Abbeville Press,Hardcover,175,N/A
200,9780821224540,11 Art & Fashion,The Painted House: Over 100 Original Designs For Mural And Trompe L'oeil Decoration,Graham Rust,Bulfinch,Paperback,188,1997
200,9780821261781,11 Art & Fashion,Revisiting The Painted House: More Than 100 New Designs For Mural And Trompe L'oeil Decoration,Graham Rust,Bulfinch,Hardcover,184,2005
404,9780316349949,12 Miscellaneous,N/A,N/A,N/A,N/A,N/A,N/A
404,9781781573693,12 Miscellaneous,N/A,N/A,N/A,N/A,N/A,N/A
200,9781851526130,12 Miscellaneous,Dictionary Of Mythology.,Unknown,Bounty Books,Hardcover,192,1994
